Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
26/01/2023,The Menu,2022,https://boxd.it/3LfVap,4,,,25/01/2023
28/01/2023,Barbarian,2022,https://boxd.it/3LZB15,3.5,,,27/01/2023
05/02/2023,X,2022,https://boxd.it/3OwAIV,4,,,05/02/2023
09/02/2023,West Side Story,2021,https://boxd.it/3PCLHl,3.5,,,08/02/2023
13/02/2023,WALL·E,2008,https://boxd.it/3QAQiP,5,Yes,,12/02/2023
18/02/2023,Fantastic Mr. Fox,2009,https://boxd.it/3S7Ck3,4,,,18/02/2023
19/02/2023,Paddington,2014,https://boxd.it/3ScEff,4,,,18/02/2023
20/02/2023,Pearl,2022,https://boxd.it/3SNojp,4,,,20/02/2023
21/02/2023,Run,2020,https://boxd.it/3T4MfF,3,,,21/02/2023
23/02/2023,Everything Everywhere All at Once,2022,https://boxd.it/3Tqzp7,3,,,22/02/2023
24/02/2023,Babylon,2022,https://boxd.it/3TPq8r,4.5,,,23/02/2023
25/02/2023,Paddington 2,2017,https://boxd.it/3UbpQL,5,,,25/02/2023
26/02/2023,Blended,2014,https://boxd.it/3UnOmF,2,Yes,,25/02/2023
26/02/2023,Mulholland Drive,2001,https://boxd.it/3UwwiX,,,,26/02/2023
28/02/2023,The Farewell,2019,https://boxd.it/3V7MwP,3,,,28/02/2023
01/03/2023,Almost Famous,2000,https://boxd.it/3VnW7H,5,,,01/03/2023
02/03/2023,Coherence,2013,https://boxd.it/3VAMGt,4,,,02/03/2023
03/03/2023,Rushmore,1998,https://boxd.it/3VPTwF,4,,,03/03/2023
04/03/2023,Black Swan,2010,https://boxd.it/3W59ex,4.5,,,04/03/2023
04/03/2023,Lady Bird,2017,https://boxd.it/3W6LGV,4.5,,,04/03/2023
05/03/2023,The Shape of Water,2017,https://boxd.it/3Wlh27,3.5,,,04/03/2023
05/03/2023,Hustle,2022,https://boxd.it/3Wp9Yl,3,,,05/03/2023
06/03/2023,The Grand Budapest Hotel,2014,https://boxd.it/3WvDRL,4,,,05/03/2023
07/03/2023,Vivarium,2019,https://boxd.it/3WYHIr,0.5,,,07/03/2023
08/03/2023,Avatar,2009,https://boxd.it/3XgbE9,3.5,,,08/03/2023
10/10/2024,Rogue One: A Star Wars Story,2016,https://boxd.it/7vUS4X,4,,,09/03/2023
